Spacecraft: Sat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
21 Dec 2023 00:00:00.000    21 Dec 2023 00:22:42.709      1362.7089349    Earth           Umbra       1             1362.7089349
21 Dec 2023 01:27:58.228    21 Dec 2023 02:01:18.280      2000.0521184    Earth           Umbra       2             2000.0521184
21 Dec 2023 03:06:33.915    21 Dec 2023 03:39:53.905      1999.9896838    Earth           Umbra       3             1999.9896838
21 Dec 2023 04:45:09.674    21 Dec 2023 05:18:29.597      1999.9228301    Earth           Umbra       4             1999.9228301
21 Dec 2023 06:23:45.439    21 Dec 2023 06:57:05.283      1999.8446943    Earth           Umbra       5             1999.8446943
21 Dec 2023 08:02:21.128    21 Dec 2023 08:35:40.890      1999.7614057    Earth           Umbra       6             1999.7614057
21 Dec 2023 09:40:56.751    21 Dec 2023 10:14:16.440      1999.6882961    Earth           Umbra       7             1999.6882961
21 Dec 2023 11:19:32.371    21 Dec 2023 11:52:52.004      1999.6338751    Earth           Umbra       8             1999.6338751
21 Dec 2023 12:58:08.023    21 Dec 2023 13:31:27.611      1999.5876646    Earth           Umbra       9             1999.5876646
21 Dec 2023 14:36:43.729    21 Dec 2023 15:10:03.258      1999.5291898    Earth           Umbra       10            1999.5291898
21 Dec 2023 16:15:19.491    21 Dec 2023 16:48:38.944      1999.4526462    Earth           Umbra       11            1999.4526462
21 Dec 2023 17:53:55.265    21 Dec 2023 18:27:14.639      1999.3742466    Earth           Umbra       12            1999.3742466
21 Dec 2023 19:32:30.985    21 Dec 2023 20:05:50.294      1999.3090196    Earth           Umbra       13            1999.3090196
21 Dec 2023 21:11:06.644    21 Dec 2023 21:44:25.895      1999.2515318    Earth           Umbra       14            1999.2515318
21 Dec 2023 22:49:42.274    21 Dec 2023 23:23:01.463      1999.1889350    Earth           Umbra       15            1999.1889350
22 Dec 2023 00:28:17.896    22 Dec 2023 01:01:37.017      1999.1212453    Earth           Umbra       16            1999.1212453
