Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
01 Jun 2024 12:00:00.000	0	225.79	45.463	-9.6941	-8.1035	-4893.7	-4973.5	-1191.9	700.94	20.037	4.9025e+07	1.3172e+08	5.71e+07	111.68	224.09	97.987	0.0016173	7072.5	238.53	5919.3
01 Jun 2024 12:00:30.000	30	225.53	45.204	-7.8906	-8.0637	-4939.9	-4975.3	-971.71	700.42	20.037	4.9024e+07	1.3172e+08	5.71e+07	110.2	224.09	97.987	0.0016391	7072.7	241.83	5919.5
01 Jun 2024 12:01:00.000	60	225.27	44.947	-6.0868	-8.0324	-4981.1	-4972	-750.5	699.92	20.038	4.9023e+07	1.3172e+08	5.7101e+07	108.92	224.09	97.987	0.0016665	7072.8	244.93	5919.7
01 Jun 2024 12:01:30.000	90	225.01	44.692	-4.2827	-8.0093	-5017.3	-4963.7	-528.53	699.45	20.038	4.9023e+07	1.3173e+08	5.7101e+07	107.87	224.09	97.987	0.0016986	7072.9	247.8	5919.9
01 Jun 2024 12:02:00.000	120	224.75	44.438	-2.4783	-7.9942	-5048.4	-4950.3	-306.02	699.01	20.038	4.9022e+07	1.3173e+08	5.7101e+07	107.05	224.09	97.987	0.0017346	7073	250.45	5919.9
01 Jun 2024 12:02:30.000	150	224.5	44.185	-0.67368	-7.9873	-5074.4	-4931.9	-83.206	698.59	20.039	4.9021e+07	1.3173e+08	5.7101e+07	106.46	224.09	97.987	0.0017737	7073	252.86	5920
01 Jun 2024 12:03:00.000	180	224.24	43.931	1.1312	-7.9883	-5095.2	-4908.6	139.7	698.21	20.039	4.902e+07	1.3173e+08	5.7101e+07	106.1	224.09	97.987	0.001815	7073	255.04	5920
01 Jun 2024 12:03:30.000	210	223.99	43.678	2.9362	-7.9973	-5110.9	-4880.2	362.46	697.85	20.039	4.9019e+07	1.3173e+08	5.7101e+07	105.95	224.09	97.987	0.0018579	7073	257.01	5919.9
01 Jun 2024 12:04:00.000	240	223.73	43.423	4.7414	-8.0144	-5121.3	-4846.9	584.85	697.52	20.039	4.9018e+07	1.3173e+08	5.7101e+07	106.01	224.09	97.987	0.0019016	7072.9	258.78	5919.8
01 Jun 2024 12:04:30.000	270	223.47	43.167	6.5466	-8.0396	-5126.6	-4808.7	806.65	697.23	20.04	4.9018e+07	1.3173e+08	5.7101e+07	106.26	224.09	97.987	0.0019456	7072.8	260.35	5919.7
01 Jun 2024 12:05:00.000	300	223.21	42.91	8.352	-8.0731	-5126.7	-4765.7	1027.6	696.96	20.04	4.9017e+07	1.3173e+08	5.7102e+07	106.7	224.09	97.987	0.0019892	7072.7	261.74	5919.5
01 Jun 2024 12:05:30.000	330	222.95	42.65	10.157	-8.1151	-5121.6	-4717.8	1247.6	696.73	20.04	4.9016e+07	1.3173e+08	5.7102e+07	107.3	224.09	97.987	0.002032	7072.5	262.96	5919.3
01 Jun 2024 12:06:00.000	360	222.68	42.386	11.963	-8.1657	-5111.3	-4665.1	1466.2	696.52	20.04	4.9015e+07	1.3173e+08	5.7102e+07	108.05	224.09	97.987	0.0020736	7072.3	264.03	5919
01 Jun 2024 12:06:30.000	390	222.41	42.12	13.768	-8.2253	-5095.8	-4607.6	1683.4	696.34	20.041	4.9014e+07	1.3173e+08	5.7102e+07	108.95	224.09	97.987	0.0021135	7072	264.95	5918.7
01 Jun 2024 12:07:00.000	420	222.14	41.849	15.573	-8.2941	-5075.2	-4545.5	1898.8	696.19	20.041	4.9013e+07	1.3173e+08	5.7102e+07	109.98	224.09	97.988	0.0021515	7071.7	265.75	5918.3
01 Jun 2024 12:07:30.000	450	221.86	41.573	17.378	-8.3725	-5049.3	-4478.8	2112.4	696.07	20.041	4.9013e+07	1.3173e+08	5.7102e+07	111.12	224.09	97.988	0.0021872	7071.4	266.43	5917.9
01 Jun 2024 12:08:00.000	480	221.57	41.292	19.183	-8.4609	-5018.4	-4407.5	2323.8	695.97	20.041	4.9012e+07	1.3173e+08	5.7102e+07	112.38	224.09	97.988	0.0022204	7071	267	5917.5
01 Jun 2024 12:08:30.000	510	221.28	41.004	20.988	-8.5599	-4982.4	-4331.8	2532.8	695.91	20.041	4.9011e+07	1.3173e+08	5.7102e+07	113.73	224.09	97.988	0.0022509	7070.6	267.47	5917
01 Jun 2024 12:09:00.000	540	220.99	40.71	22.793	-8.67	-4941.3	-4251.7	2739.2	695.86	20.041	4.901e+07	1.3173e+08	5.7102e+07	115.18	224.09	97.988	0.0022784	7070.2	267.85	5916.5
