Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
21 Dec 2023 00:00:00.000	0	64.607	-115.7	0	-8.2	3064.2	6366.9	0	687.79	25.288	-3.8322e+06	-1.3499e+08	-5.8516e+07	0	64.3	98.2	0.001	7073	0	5919.9
21 Dec 2023 12:00:00.000	43200	267.25	87.299	69.348	-156.12	-117.49	-2490.2	6614.2	709.05	25.349	-2.5248e+06	-1.3501e+08	-5.8525e+07	313.47	64.792	98.21	0.0018298	7056.7	155.54	5899.5
22 Dec 2023 00:00:00.000	86400	239.33	58.934	-37.439	-169.65	-2897.3	-4809.2	-4298.6	700.95	25.416	-1.2173e+06	-1.3502e+08	-5.8529e+07	352.08	65.272	98.205	0.0010308	7066.1	225.82	5911.2
22 Dec 2023 12:00:00.000	1.296e+05	71.321	-108.91	-32.76	-9.77	1925.3	5621.4	-3823.5	693.94	25.467	90209	-1.3502e+08	-5.8529e+07	288.53	65.771	98.204	0.00031588	7067.6	38.327	5913.1
23 Dec 2023 00:00:00.000	1.728e+05	37.207	-143.37	73.724	-30.638	1589.3	1181.7	6783.3	708.1	25.537	1.3977e+06	-1.3501e+08	-5.8525e+07	264.05	66.252	98.211	0.0015318	7055.8	171.85	5898.4
23 Dec 2023 12:00:00.000	2.16e+05	246.37	66.057	-4.7495	-171.77	-2860.4	-6441.8	-585.6	694.56	25.592	2.705e+06	-1.3499e+08	-5.8515e+07	262.4	66.743	98.202	0.00019948	7072.8	282.4	5919.7
24 Dec 2023 00:00:00.000	2.592e+05	85.257	-94.767	-64.963	-19.725	248.5	2979.9	-6401.8	705.11	25.652	4.012e+06	-1.3496e+08	-5.8502e+07	114.79	67.236	98.212	0.0011325	7057.7	178.94	5900.7
24 Dec 2023 12:00:00.000	3.024e+05	60.602	-119.81	42.235	-11.118	2601	4540	4750.3	698.59	25.72	5.3188e+06	-1.3491e+08	-5.8483e+07	203.97	67.716	98.208	0.00037191	7064.5	198.81	5909.3
25 Dec 2023 00:00:00.000	3.456e+05	252.85	72.609	27.986	-170.7	-1866.4	-5958.9	3318.2	697.78	25.772	6.625e+06	-1.3486e+08	-5.846e+07	24.205	68.214	98.206	0.00053111	7068.9	127.49	5914.8
25 Dec 2023 12:00:00.000	3.888e+05	208.4	27.821	-77.561	-138.45	-1346.2	-710.37	-6900.4	708.51	25.841	7.9308e+06	-1.348e+08	-5.8433e+07	65.011	68.697	98.214	0.0016314	7055.2	195.62	5897.5
26 Dec 2023 00:00:00.000	4.32e+05	68.126	-112.2	9.5393	-8.3207	2634	6453.6	1171.4	690.62	25.898	9.2359e+06	-1.3473e+08	-5.8401e+07	9.2184	69.186	98.205	0.00061208	7072.5	0.4205	5919.3
26 Dec 2023 12:00:00.000	4.752e+05	264.44	84.367	60.346	-163.22	-343.28	-3480.6	6143.1	707	25.956	1.054e+07	-1.3464e+08	-5.8365e+07	317.76	69.681	98.213	0.0015015	7059	160.84	5902.3
27 Dec 2023 00:00:00.000	5.184e+05	241.72	61.292	-46.889	-167.94	-2320.3	-4236.8	-5160.1	701.56	26.026	1.1844e+07	-1.3455e+08	-5.8324e+07	7.0029	70.159	98.211	0.0009821	7063	220.52	5907.4
27 Dec 2023 12:00:00.000	5.616e+05	74.461	-105.79	-23.234	-8.9372	1767.5	6249.5	-2788.2	693.04	26.076	1.3146e+07	-1.3444e+08	-5.8279e+07	286.49	70.658	98.207	0.0005107	7070.2	50.023	5916.4
28 Dec 2023 00:00:00.000	6.048e+05	10.518	-169.92	80.631	-61.388	1132.8	201.34	6973.3	710.25	26.145	1.4448e+07	-1.3433e+08	-5.8229e+07	266.95	71.142	98.216	0.0018015	7054.8	178.53	5897.1
28 Dec 2023 12:00:00.000	6.48e+05	249.87	69.528	-14.264	-171.53	-2396.5	-6419.2	-1742	693.08	26.203	1.5749e+07	-1.342e+08	-5.8174e+07	248.69	71.629	98.207	0.00046876	7071.8	305.72	5918.5
29 Dec 2023 00:00:00.000	6.912e+05	84.469	-95.645	-55.726	-14.697	391.47	3960.3	-5839.6	703.17	26.26	1.7048e+07	-1.3407e+08	-5.8116e+07	149.05	72.125	98.214	0.0010086	7060.3	154.35	5903.9
29 Dec 2023 12:00:00.000	7.344e+05	62.559	-117.9	51.618	-13.303	2053.4	3878.9	5540.9	703.6	26.33	1.8346e+07	-1.3392e+08	-5.8052e+07	215.52	72.604	98.214	0.0010465	7061.5	196.86	5905.5
30 Dec 2023 00:00:00.000	7.776e+05	256.13	75.868	18.503	-171.34	-1636.9	-6501.2	2243.6	693.57	26.381	1.9642e+07	-1.3376e+08	-5.7984e+07	131.89	73.101	98.208	0.00026505	7071.2	29.412	5917.7
30 Dec 2023 12:00:00.000	8.208e+05	161.6	-18.4	-81.777	-88.033	-958.92	319	-6992.9	708.42	26.448	2.0938e+07	-1.336e+08	-5.7912e+07	91.92	73.587	98.218	0.0015523	7054.6	178.36	5896.9
31 Dec 2023 00:00:00.000	8.64e+05	71.568	-108.78	19.05	-8.6886	2151.9	6327.2	2307.7	694.48	26.507	2.2231e+07	-1.3342e+08	-5.7835e+07	80.001	74.072	98.209	0.00019926	7071	299.25	5917.4
31 Dec 2023 12:00:00.000	9.072e+05	265.01	84.869	51.079	-166.85	-397.13	-4422.8	5499.2	703.05	26.562	2.3523e+07	-1.3323e+08	-5.7754e+07	323.19	74.57	98.215	0.00094879	7061.8	164.99	5905.8
