Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
21 Dec 2023 00:00:00.000	0	334.19	154.3	81.8	-90	908.11	-437.04	6993.7	708.75	25.288	-3.8322e+06	-1.3499e+08	-5.8516e+07	90	64.3	98.2	0.001	7073	8.5377e-07	5919.9
21 Dec 2023 00:00:08.640	8.64	330.45	150.61	81.783	-93.649	879.92	-495.53	6993.4	708.75	25.288	-3.8319e+06	-1.3499e+08	-5.8516e+07	88.655	64.3	98.2	0.0010006	7073	1.8715	5919.9
21 Dec 2023 00:00:17.280	17.28	326.75	146.96	81.733	-97.268	851.65	-553.97	6992.5	708.75	25.288	-3.8316e+06	-1.3499e+08	-5.8516e+07	87.315	64.3	98.2	0.0010023	7073	3.7382	5919.9
21 Dec 2023 00:00:25.920	25.92	323.11	143.36	81.65	-100.83	823.31	-612.37	6991	708.75	25.288	-3.8314e+06	-1.3499e+08	-5.8516e+07	85.984	64.301	98.2	0.0010053	7073	5.5951	5919.9
21 Dec 2023 00:00:34.560	34.56	319.56	139.84	81.536	-104.31	794.9	-670.71	6989	708.74	25.288	-3.8311e+06	-1.3499e+08	-5.8516e+07	84.669	64.301	98.2	0.0010095	7073	7.4373	5920
21 Dec 2023 00:00:43.200	43.2	316.12	136.43	81.391	-107.68	766.43	-729	6986.3	708.73	25.288	-3.8309e+06	-1.3499e+08	-5.8516e+07	83.372	64.301	98.2	0.0010148	7073	9.2603	5920
21 Dec 2023 00:00:51.840	51.84	312.81	133.15	81.216	-110.93	737.89	-787.22	6983.1	708.73	25.288	-3.8306e+06	-1.3499e+08	-5.8516e+07	82.099	64.301	98.2	0.0010212	7073.1	11.06	5920
21 Dec 2023 00:01:00.480	60.48	309.65	130	81.015	-114.04	709.29	-845.39	6979.3	708.72	25.287	-3.8303e+06	-1.3499e+08	-5.8516e+07	80.854	64.301	98.2	0.0010288	7073.1	12.832	5920
21 Dec 2023 00:01:09.120	69.12	306.63	126.99	80.788	-117.01	680.63	-903.47	6974.9	708.71	25.287	-3.8301e+06	-1.3499e+08	-5.8516e+07	79.639	64.302	98.2	0.0010375	7073.1	14.573	5920.1
21 Dec 2023 00:01:17.760	77.76	303.78	124.14	80.538	-119.82	651.91	-961.49	6969.9	708.69	25.287	-3.8298e+06	-1.3499e+08	-5.8516e+07	78.459	64.302	98.2	0.0010472	7073.1	16.279	5920.1
21 Dec 2023 00:01:26.400	86.4	301.07	121.44	80.265	-122.49	623.14	-1019.4	6964.3	708.68	25.287	-3.8295e+06	-1.3499e+08	-5.8516e+07	77.317	64.302	98.2	0.0010579	7073.2	17.948	5920.1
21 Dec 2023 00:01:35.040	95.04	298.53	118.89	79.973	-125	594.32	-1077.3	6958.1	708.67	25.287	-3.8293e+06	-1.3499e+08	-5.8516e+07	76.214	64.302	98.2	0.0010697	7073.2	19.578	5920.2
21 Dec 2023 00:01:43.680	103.68	296.13	116.48	79.662	-127.37	565.44	-1135	6951.4	708.65	25.287	-3.829e+06	-1.3499e+08	-5.8516e+07	75.152	64.302	98.2	0.0010823	7073.2	21.166	5920.2
21 Dec 2023 00:01:52.320	112.32	293.88	114.22	79.334	-129.59	536.52	-1192.7	6944	708.63	25.287	-3.8288e+06	-1.3499e+08	-5.8516e+07	74.134	64.302	98.2	0.0010959	7073.3	22.711	5920.3
21 Dec 2023 00:02:00.960	120.96	291.76	112.1	78.991	-131.68	507.55	-1250.3	6936.1	708.61	25.287	-3.8285e+06	-1.3499e+08	-5.8516e+07	73.16	64.303	98.2	0.0011104	7073.3	24.211	5920.3
21 Dec 2023 00:02:09.600	129.6	289.78	110.1	78.634	-133.64	478.55	-1307.7	6927.6	708.59	25.287	-3.8282e+06	-1.3499e+08	-5.8516e+07	72.232	64.303	98.2	0.0011257	7073.3	25.666	5920.4
21 Dec 2023 00:02:18.240	138.24	287.92	108.23	78.265	-135.47	449.5	-1365.1	6918.5	708.57	25.287	-3.828e+06	-1.3499e+08	-5.8516e+07	71.349	64.303	98.2	0.0011417	7073.4	27.075	5920.4
21 Dec 2023 00:02:26.880	146.88	286.18	106.47	77.884	-137.19	420.41	-1422.3	6908.8	708.55	25.287	-3.8277e+06	-1.3499e+08	-5.8516e+07	70.512	64.303	98.2	0.0011585	7073.4	28.438	5920.5
21 Dec 2023 00:02:35.520	155.52	284.54	104.81	77.493	-138.81	391.29	-1479.4	6898.6	708.52	25.287	-3.8275e+06	-1.3499e+08	-5.8516e+07	69.722	64.303	98.2	0.0011761	7073.5	29.755	5920.5
21 Dec 2023 00:02:44.160	164.16	283	103.26	77.092	-140.32	362.13	-1536.4	6887.7	708.5	25.286	-3.8272e+06	-1.3499e+08	-5.8516e+07	68.977	64.304	98.2	0.0011942	7073.5	31.026	5920.6
21 Dec 2023 00:02:52.800	172.8	281.56	101.8	76.683	-141.74	332.95	-1593.3	6876.3	708.47	25.286	-3.8269e+06	-1.3499e+08	-5.8516e+07	68.277	64.304	98.2	0.001213	7073.6	32.252	5920.7
21 Dec 2023 00:03:01.440	181.44	280.2	100.43	76.266	-143.08	303.73	-1650	6864.3	708.44	25.286	-3.8267e+06	-1.3499e+08	-5.8516e+07	67.622	64.304	98.2	0.0012324	7073.7	33.434	5920.8
21 Dec 2023 00:03:10.080	190.08	278.92	99.138	75.841	-144.33	274.49	-1706.6	6851.8	708.41	25.286	-3.8264e+06	-1.3499e+08	-5.8516e+07	67.011	64.304	98.2	0.0012523	7073.7	34.572	5920.9
21 Dec 2023 00:03:18.720	198.72	277.72	97.919	75.411	-145.51	245.23	-1763	6838.6	708.38	25.286	-3.8262e+06	-1.3499e+08	-5.8516e+07	66.442	64.304	98.2	0.0012728	7073.8	35.667	5920.9
21 Dec 2023 00:03:27.360	207.36	276.58	96.769	74.974	-146.63	215.95	-1819.3	6824.9	708.35	25.286	-3.8259e+06	-1.3499e+08	-5.8516e+07	65.915	64.305	98.2	0.0012937	7073.9	36.72	5921
21 Dec 2023 00:03:36.000	216	275.51	95.683	74.532	-147.67	186.65	-1875.5	6810.6	708.32	25.286	-3.8256e+06	-1.3499e+08	-5.8516e+07	65.428	64.305	98.199	0.001315	7073.9	37.733	5921.1
21 Dec 2023 00:03:44.640	224.64	274.5	94.657	74.084	-148.66	157.33	-1931.4	6795.7	708.29	25.286	-3.8254e+06	-1.3499e+08	-5.8516e+07	64.981	64.305	98.199	0.0013368	7074	38.707	5921.2
21 Dec 2023 00:03:53.280	233.28	273.54	93.685	73.632	-149.6	128	-1987.3	6780.3	708.25	25.286	-3.8251e+06	-1.3499e+08	-5.8516e+07	64.572	64.305	98.199	0.0013589	7074.1	39.642	5921.3
21 Dec 2023 00:04:01.920	241.92	272.63	92.765	73.176	-150.48	98.662	-2042.9	6764.3	708.21	25.286	-3.8248e+06	-1.3499e+08	-5.8516e+07	64.2	64.305	98.199	0.0013814	7074.2	40.541	5921.4
21 Dec 2023 00:04:10.560	250.56	271.77	91.892	72.716	-151.31	69.314	-2098.4	6747.7	708.18	25.286	-3.8246e+06	-1.3499e+08	-5.8516e+07	63.863	64.305	98.199	0.0014042	7074.3	41.404	5921.5
21 Dec 2023 00:04:19.200	259.2	270.96	91.063	72.253	-152.1	39.959	-2153.7	6730.6	708.14	25.286	-3.8243e+06	-1.3499e+08	-5.8516e+07	63.561	64.306	98.199	0.0014273	7074.4	42.233	5921.6
21 Dec 2023 00:04:27.840	267.84	270.18	90.275	71.786	-152.85	10.602	-2208.9	6712.9	708.1	25.285	-3.8241e+06	-1.3499e+08	-5.8516e+07	63.291	64.306	98.199	0.0014506	7074.4	43.029	5921.7
21 Dec 2023 00:04:36.480	276.48	269.44	89.525	71.316	-153.56	-18.757	-2263.8	6694.6	708.06	25.285	-3.8238e+06	-1.3499e+08	-5.8516e+07	63.053	64.306	98.199	0.0014742	7074.5	43.793	5921.9
21 Dec 2023 00:04:45.120	285.12	268.74	88.811	70.844	-154.24	-48.114	-2318.5	6675.7	708.02	25.285	-3.8235e+06	-1.3499e+08	-5.8516e+07	62.846	64.306	98.199	0.001498	7074.6	44.527	5922
21 Dec 2023 00:04:53.760	293.76	268.07	88.13	70.368	-154.88	-77.467	-2373.1	6656.3	707.98	25.285	-3.8233e+06	-1.3499e+08	-5.8516e+07	62.668	64.306	98.199	0.001522	7074.7	45.231	5922.1
21 Dec 2023 00:05:02.400	302.4	267.43	87.48	69.89	-155.49	-106.81	-2427.5	6636.4	707.93	25.285	-3.823e+06	-1.3499e+08	-5.8516e+07	62.518	64.307	98.199	0.0015462	7074.8	45.908	5922.2
21 Dec 2023 00:05:11.040	311.04	266.81	86.86	69.41	-156.08	-136.15	-2481.6	6615.8	707.89	25.285	-3.8228e+06	-1.3499e+08	-5.8516e+07	62.395	64.307	98.199	0.0015705	7074.9	46.557	5922.4
21 Dec 2023 00:05:19.680	319.68	266.23	86.266	68.928	-156.63	-165.48	-2535.6	6594.8	707.85	25.285	-3.8225e+06	-1.3499e+08	-5.8516e+07	62.298	64.307	98.199	0.0015949	7075	47.181	5922.5
21 Dec 2023 00:05:28.320	328.32	265.67	85.698	68.444	-157.16	-194.79	-2589.3	6573.1	707.8	25.285	-3.8222e+06	-1.3499e+08	-5.8516e+07	62.225	64.307	98.199	0.0016194	7075.1	47.78	5922.6
21 Dec 2023 00:05:36.960	336.96	265.13	85.153	67.958	-157.67	-224.09	-2642.8	6550.9	707.75	25.285	-3.822e+06	-1.3499e+08	-5.8516e+07	62.176	64.307	98.199	0.0016441	7075.2	48.355	5922.8
21 Dec 2023 00:05:45.600	345.6	264.62	84.632	67.471	-158.15	-253.36	-2696.1	6528.2	707.71	25.285	-3.8217e+06	-1.3499e+08	-5.8516e+07	62.149	64.307	98.199	0.0016688	7075.4	48.908	5922.9
21 Dec 2023 00:05:54.240	354.24	264.13	84.131	66.981	-158.61	-282.62	-2749.2	6504.9	707.66	25.285	-3.8214e+06	-1.3499e+08	-5.8516e+07	62.144	64.308	98.199	0.0016935	7075.5	49.44	5923
21 Dec 2023 00:06:02.880	362.88	263.65	83.649	66.49	-159.05	-311.85	-2802	6481.1	707.61	25.285	-3.8212e+06	-1.3499e+08	-5.8516e+07	62.16	64.308	98.199	0.0017183	7075.6	49.95	5923.2
21 Dec 2023 00:06:11.520	371.52	263.2	83.187	65.998	-159.48	-341.06	-2854.6	6456.7	707.56	25.285	-3.8209e+06	-1.3499e+08	-5.8516e+07	62.196	64.308	98.198	0.0017431	7075.7	50.441	5923.3
21 Dec 2023 00:06:20.160	380.16	262.76	82.742	65.505	-159.88	-370.23	-2907	6431.8	707.51	25.284	-3.8207e+06	-1.3499e+08	-5.8516e+07	62.25	64.308	98.198	0.0017679	7075.8	50.913	5923.5
21 Dec 2023 00:06:28.800	388.8	262.34	82.313	65.01	-160.27	-399.38	-2959.1	6406.3	707.46	25.284	-3.8204e+06	-1.3499e+08	-5.8516e+07	62.322	64.308	98.198	0.0017927	7076	51.367	5923.6
21 Dec 2023 00:06:37.440	397.44	261.93	81.901	64.514	-160.65	-428.49	-3011	6380.3	707.41	25.284	-3.8201e+06	-1.3499e+08	-5.8516e+07	62.412	64.308	98.198	0.0018175	7076.1	51.803	5923.8
21 Dec 2023 00:06:46.080	406.08	261.54	81.503	64.017	-161	-457.57	-3062.6	6353.8	707.36	25.284	-3.8199e+06	-1.3499e+08	-5.8516e+07	62.518	64.309	98.198	0.0018423	7076.2	52.223	5924
21 Dec 2023 00:06:54.720	414.72	261.16	81.118	63.519	-161.35	-486.61	-3114	6326.7	707.31	25.284	-3.8196e+06	-1.3499e+08	-5.8516e+07	62.64	64.309	98.198	0.001867	7076.3	52.628	5924.1
21 Dec 2023 00:07:03.360	423.36	260.8	80.748	63.02	-161.68	-515.61	-3165.1	6299.1	707.25	25.284	-3.8194e+06	-1.3499e+08	-5.8516e+07	62.777	64.309	98.198	0.0018916	7076.5	53.017	5924.3
21 Dec 2023 00:07:12.000	432	260.45	80.389	62.52	-162	-544.56	-3215.9	6271	707.2	25.284	-3.8191e+06	-1.3499e+08	-5.8516e+07	62.928	64.309	98.198	0.0019162	7076.6	53.392	5924.5
21 Dec 2023 00:07:20.640	440.64	260.1	80.043	62.019	-162.31	-573.47	-3266.5	6242.3	707.15	25.284	-3.8188e+06	-1.3499e+08	-5.8516e+07	63.093	64.309	98.198	0.0019407	7076.7	53.753	5924.6
21 Dec 2023 00:07:29.280	449.28	259.77	79.707	61.517	-162.6	-602.33	-3316.8	6213.1	707.09	25.284	-3.8186e+06	-1.3499e+08	-5.8516e+07	63.272	64.309	98.198	0.0019651	7076.9	54.101	5924.8
21 Dec 2023 00:07:37.920	457.92	259.46	79.383	61.015	-162.89	-631.14	-3366.8	6183.4	707.04	25.284	-3.8183e+06	-1.3499e+08	-5.8516e+07	63.462	64.31	98.198	0.0019894	7077	54.437	5925
