Spacecraft: Sat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
11 May 2012 04:14:48.928    11 May 2012 04:15:45.567      56.639182766    Earth           Umbra       1             56.639182766
11 May 2012 05:52:41.931    11 May 2012 05:54:14.424      92.493419617    Earth           Umbra       2             92.493419617
11 May 2012 07:30:41.241    11 May 2012 07:32:36.916      115.67508734    Earth           Umbra       3             115.67508734
11 May 2012 09:08:43.702    11 May 2012 09:10:56.346      132.64383080    Earth           Umbra       4             132.64383080
11 May 2012 10:46:47.772    11 May 2012 10:49:14.334      146.56168713    Earth           Umbra       5             146.56168713
11 May 2012 12:24:51.964    11 May 2012 12:27:32.356      160.39216054    Earth           Umbra       6             160.39216054
11 May 2012 14:02:55.620    11 May 2012 14:05:50.931      175.31151704    Earth           Umbra       7             175.31151704
11 May 2012 15:40:59.489    11 May 2012 15:44:09.147      189.65865809    Earth           Umbra       8             189.65865809
11 May 2012 17:19:04.400    11 May 2012 17:22:26.181      201.78103563    Earth           Umbra       9             201.78103563
11 May 2012 18:57:10.081    11 May 2012 19:00:42.411      212.33004205    Earth           Umbra       10            212.33004205
11 May 2012 20:35:15.974    11 May 2012 20:38:58.460      222.48542507    Earth           Umbra       11            222.48542507
11 May 2012 22:13:22.251    11 May 2012 22:17:14.249      231.99823243    Earth           Umbra       12            231.99823243
11 May 2012 23:51:29.107    11 May 2012 23:55:29.692      240.58573425    Earth           Umbra       13            240.58573425
12 May 2012 01:29:35.975    12 May 2012 01:33:45.274      249.29929435    Earth           Umbra       14            249.29929435
12 May 2012 03:07:42.282    12 May 2012 03:12:01.278      258.99617113    Earth           Umbra       15            258.99617113
12 May 2012 04:45:48.283    12 May 2012 04:50:17.281      268.99863209    Earth           Umbra       16            268.99863209
12 May 2012 06:23:54.598    12 May 2012 06:28:32.775      278.17710650    Earth           Umbra       17            278.17710650
12 May 2012 08:02:01.561    12 May 2012 08:06:47.622      286.06073622    Earth           Umbra       18            286.06073622
