Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
20 Jun 2012 12:00:43.200	43.2	168.38	-11.803	55.883	-14.368	-3866.1	807.87	5829.9	678.35	58.553	1.634e+06	1.3948e+08	6.0466e+07	271.98	180.17	98	0.0013259	7034.2	144.74	5871.3
20 Jun 2012 12:01:26.400	86.4	167.13	-13.055	58.437	-15.421	-3590.8	832.65	6000.3	679.46	58.552	1.6328e+06	1.3948e+08	6.0466e+07	271.88	180.17	98.001	0.001453	7033.5	147.48	5870.4
20 Jun 2012 12:02:09.600	129.6	165.69	-14.503	60.977	-16.673	-3307.8	855.66	6158	680.55	58.552	1.6315e+06	1.3948e+08	6.0466e+07	272.33	180.17	98.001	0.0015793	7032.8	149.68	5869.5
20 Jun 2012 12:02:52.800	172.8	163.99	-16.202	63.498	-18.177	-3017.8	876.86	6302.6	681.58	58.551	1.6302e+06	1.3948e+08	6.0466e+07	273.21	180.17	98.002	0.0017031	7032.1	151.44	5868.6
20 Jun 2012 12:03:36.000	216	161.98	-18.228	65.995	-20.011	-2721.4	896.19	6433.7	682.57	58.551	1.629e+06	1.3948e+08	6.0466e+07	274.43	180.17	98.002	0.0018228	7031.5	152.86	5867.9
20 Jun 2012 12:04:19.200	259.2	159.53	-20.69	68.46	-22.282	-2419.2	913.63	6551.2	683.5	58.551	1.6277e+06	1.3948e+08	6.0466e+07	275.92	180.17	98.002	0.0019373	7030.9	154.01	5867.2
20 Jun 2012 12:05:02.400	302.4	156.49	-23.747	70.879	-25.151	-2111.9	929.13	6654.8	684.37	58.55	1.6264e+06	1.3948e+08	6.0466e+07	277.63	180.18	98.003	0.0020456	7030.4	154.95	5866.5
20 Jun 2012 12:05:45.600	345.6	152.62	-27.64	73.233	-28.856	-1800.1	942.66	6744.2	685.17	58.55	1.6252e+06	1.3948e+08	6.0466e+07	279.51	180.18	98.003	0.0021468	7030	155.71	5866
20 Jun 2012 12:06:28.800	388.8	147.57	-32.732	75.491	-33.762	-1484.5	954.19	6819.4	685.89	58.55	1.6239e+06	1.3948e+08	6.0466e+07	281.54	180.18	98.003	0.0022401	7029.6	156.32	5865.5
20 Jun 2012 12:07:12.000	432	140.78	-39.581	77.601	-40.425	-1165.7	963.71	6880	686.55	58.55	1.6227e+06	1.3948e+08	6.0466e+07	283.68	180.18	98.003	0.0023248	7029.3	156.82	5865.1
20 Jun 2012 12:07:55.200	475.2	131.45	-48.99	79.473	-49.65	-844.52	971.18	6926	687.12	58.55	1.6214e+06	1.3948e+08	6.0466e+07	285.93	180.18	98.004	0.0024004	7029	157.21	5864.8
20 Jun 2012 12:08:38.400	518.4	118.65	-61.897	80.958	-62.373	-521.52	976.6	6957.4	687.61	58.549	1.6201e+06	1.3948e+08	6.0466e+07	288.25	180.18	98.004	0.0024663	7028.9	157.53	5864.6
20 Jun 2012 12:09:21.600	561.6	102.03	-78.61	81.843	-78.902	-197.42	979.95	6973.9	688.02	58.549	1.6189e+06	1.3948e+08	6.0466e+07	290.65	180.18	98.004	0.0025223	7028.8	157.77	5864.5
20 Jun 2012 12:10:04.800	604.8	83.278	-97.38	81.927	-97.489	127.1	981.23	6975.7	688.34	58.549	1.6176e+06	1.3948e+08	6.0466e+07	293.11	180.18	98.004	0.002568	7028.8	157.95	5864.5
20 Jun 2012 12:10:48.000	648	65.862	-114.72	81.188	-114.64	451.35	980.44	6962.7	688.58	58.549	1.6163e+06	1.3948e+08	6.0466e+07	295.61	180.18	98.004	0.0026033	7028.9	158.09	5864.6
20 Jun 2012 12:11:31.200	691.2	52.081	-128.39	79.804	-128.13	774.64	977.56	6934.9	688.73	58.549	1.6151e+06	1.3948e+08	6.0466e+07	298.15	180.18	98.004	0.0026279	7029	158.18	5864.8
20 Jun 2012 12:12:14.400	734.4	41.966	-138.42	77.996	-137.98	1096.3	972.63	6892.4	688.8	58.55	1.6138e+06	1.3948e+08	6.0466e+07	300.73	180.19	98.003	0.0026418	7029.2	158.25	5865.1
20 Jun 2012 12:12:57.600	777.6	34.623	-145.7	75.926	-145.07	1415.6	965.63	6835.3	688.78	58.55	1.6125e+06	1.3948e+08	6.0466e+07	303.33	180.19	98.003	0.0026452	7029.5	158.29	5865.4
