Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
20 Sep 2011 12:00:00.000	43200	85.969	-94.143	-29.899	-170.77	442.18	6104.4	-3519.2	687.26	80.28	-1.5005e+08	7.1601e+06	3.1044e+06	83.005	270.49	97.991	0.0026526	7048.8	127.22	5889.6
21 Sep 2011 00:00:00.000	86400	275.85	95.658	-30.106	-9.2482	602.12	-6077.1	-3540.8	686.41	80.444	-1.5009e+08	5.9851e+06	2.595e+06	93.684	270.99	97.992	0.0026454	7048.7	235.88	5889.5
21 Sep 2011 12:00:00.000	1.296e+05	182.92	2.7998	81.999	-88.688	-976.91	-47.776	6958.3	669.52	80.606	-1.5012e+08	4.8097e+06	2.0853e+06	82.802	271.48	97.999	0.0011962	7035	7.0139	5872.3
22 Sep 2011 00:00:00.000	1.728e+05	87.483	-92.629	-29.695	-170.79	281.3	6127.2	-3497.8	688.04	80.781	-1.5014e+08	3.6339e+06	1.5756e+06	79.885	271.96	97.992	0.0026749	7048.8	130.13	5889.6
22 Sep 2011 12:00:00.000	2.16e+05	277.36	97.171	-30.31	-9.2676	760.69	-6045.7	-3562.1	685.53	80.943	-1.5014e+08	2.4578e+06	1.0656e+06	90.686	272.46	97.992	0.0026264	7048.6	238.68	5889.3
23 Sep 2011 00:00:00.000	2.592e+05	185.67	5.5721	81.992	-87.406	-974.32	-95.054	6958.2	669.56	81.1	-1.5014e+08	1.2814e+06	5.5562e+05	76.058	272.95	98	0.0012094	7035	13.577	5872.3
23 Sep 2011 12:00:00.000	3.024e+05	88.998	-91.114	-29.486	-170.81	119.5	6145.9	-3475.9	688.78	81.273	-1.5013e+08	1.0488e+05	45540	76.654	273.44	97.991	0.0026641	7048.9	133.15	5889.7
24 Sep 2011 00:00:00.000	3.456e+05	278.88	98.687	-30.511	-9.2872	918.34	-6010.3	-3583	684.64	81.429	-1.501e+08	-1.0717e+06	-4.6456e+05	87.336	273.94	97.992	0.0026053	7048.6	241.82	5889.3
24 Sep 2011 12:00:00.000	3.888e+05	188.45	8.3703	81.982	-86.095	-969.73	-142.68	6958.3	669.85	81.584	-1.5006e+08	-2.2482e+06	-9.7464e+05	68.901	274.43	97.999	0.0012169	7035	20.55	5872.3
25 Sep 2011 00:00:00.000	4.32e+05	90.513	-89.599	-29.28	-170.83	-43.06	6160	-3454.1	689.46	81.751	-1.5002e+08	-3.4247e+06	-1.4847e+06	73.554	274.92	97.992	0.002677	7048.9	136.04	5889.7
