Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
21 Mar 2023 00:00:00.000	0	28.063	-152.25	15.929	-163.8	5951.9	3131.3	1919.4	617.38	-25.402	1.4898e+08	-4.9708e+05	-2.1668e+05	81.915	205.48	97.885	0.0001252	6994	82	5821
21 Mar 2023 12:00:00.000	43200	213.71	33.344	-42.747	-2.7719	-4287.4	-2821	-4743.7	620.49	-25.479	1.49e+08	6.8862e+05	2.9736e+05	191.89	205.99	97.887	0.00050358	6986.7	124.86	5811.9
22 Mar 2023 00:00:00.000	86400	48.132	-132.41	68.949	-149.53	1693.6	1854.1	6524.5	631.63	-25.547	1.4901e+08	1.8743e+06	8.1137e+05	301.36	206.48	97.891	0.00177	6979	168.22	5802.3
22 Mar 2023 12:00:00.000	1.296e+05	341.77	161.26	-79.044	-125.75	1257.7	-426.79	-6860.6	630.48	-25.616	1.4901e+08	3.0598e+06	1.3253e+06	71.084	206.98	97.891	0.0015654	6977.3	191.29	5800.2
23 Mar 2023 00:00:00.000	1.728e+05	196.54	16.287	54.465	-5.6589	-3900	-1139.5	5688.9	626.91	-25.683	1.49e+08	4.2451e+06	1.8392e+06	223.97	207.47	97.887	0.0011435	6983.1	191.26	5807.4
23 Mar 2023 12:00:00.000	2.16e+05	24.072	-156.2	-27.727	-163.09	5662.3	2497.4	-3252.9	617.9	-25.757	1.4897e+08	5.43e+06	2.3529e+06	297.72	207.97	97.881	0.00057705	6991.5	270.29	5817.8
24 Mar 2023 00:00:00.000	2.592e+05	208.65	28.354	0.86699	0.11936	-6152.5	-3320.3	105.8	613.92	-25.831	1.4894e+08	6.6145e+06	2.8664e+06	339.02	208.47	97.878	0.00052746	6995.5	21.853	5822.9
24 Mar 2023 12:00:00.000	3.024e+05	33.194	-147.14	26.081	-163.22	5275.2	3407.9	3074.1	618.33	-25.908	1.4889e+08	7.7985e+06	3.3797e+06	43.13	208.98	97.879	0.0001954	6991.8	110.52	5818.3
25 Mar 2023 00:00:00.000	3.456e+05	220.38	39.975	-52.77	-5.1035	-3240.5	-2716.7	-5564.9	624.71	-25.978	1.4883e+08	8.9818e+06	3.8927e+06	162.27	209.48	97.883	0.001006	6983.5	144.24	5808
25 Mar 2023 12:00:00.000	3.888e+05	70.772	-110.08	77.828	-131.42	506.11	1384.4	6833.3	632.77	-26.047	1.4876e+08	1.0164e+07	4.4055e+06	280.93	209.97	97.885	0.0018626	6977.5	178.37	5800.4
