Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
21 Mar 2023 00:00:00.000	0	28.059	-152.25	15.929	-81.798	5952.1	3130.9	1919.4	617.38	-25.398	1.4898e+08	-4.9708e+05	-2.1668e+05	81.915	205.48	97.885	0.0001252	6994	82	5821
21 Mar 2023 00:00:30.000	30	27.784	-152.53	14.092	-81.869	6018.5	3129.3	1702.9	617.06	-25.398	1.4898e+08	-4.9626e+05	-2.1632e+05	108.4	205.48	97.885	0.00010762	6994.3	57.372	5821.4
21 Mar 2023 00:01:00.000	60	27.514	-152.8	12.255	-81.93	6078.5	3124.5	1484.6	616.77	-25.398	1.4898e+08	-4.9544e+05	-2.1596e+05	136.84	205.48	97.885	0.00011043	6994.6	30.782	5821.8
21 Mar 2023 00:01:30.000	90	27.247	-153.06	10.418	-81.982	6132.2	3116.3	1264.7	616.51	-25.398	1.4898e+08	-4.9461e+05	-2.1561e+05	159.83	205.48	97.885	0.00012965	6994.8	9.6479	5822.1
21 Mar 2023 00:02:00.000	120	26.983	-153.32	8.5806	-82.026	6179.5	3104.9	1043.5	616.28	-25.397	1.4898e+08	-4.9379e+05	-2.1525e+05	176.3	205.48	97.884	0.00015731	6995	355.04	5822.3
21 Mar 2023 00:02:30.000	150	26.722	-153.58	6.7429	-82.06	6220.2	3090.2	821.19	616.09	-25.397	1.4898e+08	-4.9297e+05	-2.1489e+05	188.41	205.48	97.884	0.00018808	6995.2	344.79	5822.5
21 Mar 2023 00:03:00.000	180	26.463	-153.84	4.9051	-82.087	6254.4	3072.3	598.02	615.93	-25.397	1.4898e+08	-4.9214e+05	-2.1454e+05	197.97	205.48	97.884	0.00021933	6995.3	337.08	5822.7
21 Mar 2023 00:03:30.000	210	26.206	-154.09	3.0672	-82.104	6282.1	3051.1	374.22	615.81	-25.397	1.4898e+08	-4.9132e+05	-2.1418e+05	206.04	205.48	97.884	0.00024984	6995.4	330.86	5822.8
21 Mar 2023 00:04:00.000	240	25.949	-154.35	1.2291	-82.114	6303.2	3026.8	150.02	615.73	-25.396	1.4898e+08	-4.905e+05	-2.1382e+05	213.22	205.48	97.884	0.00027907	6995.5	325.54	5822.8
21 Mar 2023 00:04:30.000	270	25.693	-154.6	-0.60896	-82.115	6317.6	2999.3	-74.331	615.68	-25.396	1.4898e+08	-4.8967e+05	-2.1346e+05	219.87	205.48	97.884	0.00030676	6995.5	320.74	5822.9
