Spacecraft: Sat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
21 Mar 2023 00:00:00.000    21 Mar 2023 00:17:09.247      1029.2471029    Earth           Umbra       1             1029.2471029
21 Mar 2023 01:23:15.883    21 Mar 2023 01:54:05.424      1849.5412787    Earth           Umbra       2             1849.5412787
21 Mar 2023 03:00:12.198    21 Mar 2023 03:31:01.537      1849.3390113    Earth           Umbra       3             1849.3390113
21 Mar 2023 04:37:08.467    21 Mar 2023 05:07:57.617      1849.1498675    Earth           Umbra       4             1849.1498675
21 Mar 2023 06:14:04.730    21 Mar 2023 06:44:53.696      1848.9656560    Earth           Umbra       5             1848.9656560
21 Mar 2023 07:51:01.066    21 Mar 2023 08:21:49.829      1848.7637218    Earth           Umbra       6             1848.7637218
21 Mar 2023 09:27:57.493    21 Mar 2023 09:58:46.048      1848.5552865    Earth           Umbra       7             1848.5552865
21 Mar 2023 11:04:53.917    21 Mar 2023 11:35:42.288      1848.3707321    Earth           Umbra       8             1848.3707321
21 Mar 2023 12:41:50.245    21 Mar 2023 13:12:38.460      1848.2151565    Earth           Umbra       9             1848.2151565
21 Mar 2023 14:18:46.499    21 Mar 2023 14:49:34.564      1848.0650873    Earth           Umbra       10            1848.0650873
21 Mar 2023 15:55:42.762    21 Mar 2023 16:26:30.656      1847.8941813    Earth           Umbra       11            1847.8941813
21 Mar 2023 17:32:39.067    21 Mar 2023 18:03:26.761      1847.6932269    Earth           Umbra       12            1847.6932269
21 Mar 2023 19:09:35.410    21 Mar 2023 19:40:22.892      1847.4823848    Earth           Umbra       13            1847.4823848
21 Mar 2023 20:46:31.789    21 Mar 2023 21:17:19.087      1847.2978939    Earth           Umbra       14            1847.2978939
21 Mar 2023 22:23:28.194    21 Mar 2023 22:54:15.339      1847.1459041    Earth           Umbra       15            1847.1459041
22 Mar 2023 00:00:24.588    22 Mar 2023 00:31:11.576      1846.9883760    Earth           Umbra       16            1846.9883760
22 Mar 2023 01:37:20.943    22 Mar 2023 02:08:07.741      1846.7980515    Earth           Umbra       17            1846.7980515
22 Mar 2023 03:14:17.249    22 Mar 2023 03:45:03.846      1846.5965536    Earth           Umbra       18            1846.5965536
22 Mar 2023 04:51:13.512    22 Mar 2023 05:21:59.922      1846.4099803    Earth           Umbra       19            1846.4099803
22 Mar 2023 06:28:09.779    22 Mar 2023 06:58:56.004      1846.2245562    Earth           Umbra       20            1846.2245562
22 Mar 2023 08:05:06.128    22 Mar 2023 08:35:52.148      1846.0203306    Earth           Umbra       21            1846.0203306
22 Mar 2023 09:42:02.561    22 Mar 2023 10:12:48.375      1845.8140003    Earth           Umbra       22            1845.8140003
22 Mar 2023 11:18:58.974    22 Mar 2023 11:49:44.608      1845.6347013    Earth           Umbra       23            1845.6347013
22 Mar 2023 12:55:55.286    22 Mar 2023 13:26:40.768      1845.4822753    Earth           Umbra       24            1845.4822753
22 Mar 2023 14:32:51.535    22 Mar 2023 15:03:36.866      1845.3309364    Earth           Umbra       25            1845.3309364
22 Mar 2023 16:09:47.802    22 Mar 2023 16:40:32.957      1845.1557708    Earth           Umbra       26            1845.1557708
22 Mar 2023 17:46:44.111    22 Mar 2023 18:17:29.063      1844.9515487    Earth           Umbra       27            1844.9515487
22 Mar 2023 19:23:40.457    22 Mar 2023 19:54:25.200      1844.7428182    Earth           Umbra       28            1844.7428182
22 Mar 2023 21:00:36.840    22 Mar 2023 21:31:21.404      1844.5644726    Earth           Umbra       29            1844.5644726
22 Mar 2023 22:37:33.244    22 Mar 2023 23:08:17.659      1844.4150533    Earth           Umbra       30            1844.4150533
23 Mar 2023 00:14:29.632    23 Mar 2023 00:45:13.886      1844.2535358    Earth           Umbra       31            1844.2535358
23 Mar 2023 01:51:25.979    23 Mar 2023 02:22:10.039      1844.0594675    Earth           Umbra       32            1844.0594675
23 Mar 2023 03:28:22.278    23 Mar 2023 03:59:06.137      1843.8596248    Earth           Umbra       33            1843.8596248
23 Mar 2023 05:05:18.535    23 Mar 2023 05:36:02.211      1843.6754671    Earth           Umbra       34            1843.6754671
23 Mar 2023 06:42:14.808    23 Mar 2023 07:12:58.296      1843.4884638    Earth           Umbra       35            1843.4884638
23 Mar 2023 08:19:11.170    23 Mar 2023 08:49:54.453      1843.2825006    Earth           Umbra       36            1843.2825006
23 Mar 2023 09:56:07.607    23 Mar 2023 10:26:50.686      1843.0791784    Earth           Umbra       37            1843.0791784
23 Mar 2023 11:33:04.006    23 Mar 2023 12:03:46.912      1842.9053200    Earth           Umbra       38            1842.9053200
23 Mar 2023 13:10:00.303    23 Mar 2023 13:40:43.059      1842.7555883    Earth           Umbra       39            1842.7555883
23 Mar 2023 14:46:56.549    23 Mar 2023 15:17:39.152      1842.6025157    Earth           Umbra       40            1842.6025157
23 Mar 2023 16:23:52.820    23 Mar 2023 16:54:35.243      1842.4230809    Earth           Umbra       41            1842.4230809
23 Mar 2023 18:00:49.134    23 Mar 2023 18:31:31.350      1842.2163555    Earth           Umbra       42            1842.2163555
23 Mar 2023 19:37:45.483    23 Mar 2023 20:08:27.494      1842.0108202    Earth           Umbra       43            1842.0108202
23 Mar 2023 21:14:41.869    23 Mar 2023 21:45:23.708      1841.8387921    Earth           Umbra       44            1841.8387921
23 Mar 2023 22:51:38.272    23 Mar 2023 23:22:19.963      1841.6910428    Earth           Umbra       45            1841.6910428
24 Mar 2023 00:28:34.654    24 Mar 2023 00:59:16.179      1841.5251386    Earth           Umbra       46            1841.5251386
24 Mar 2023 02:05:30.994    24 Mar 2023 02:36:12.322      1841.3281934    Earth           Umbra       47            1841.3281934
24 Mar 2023 03:42:27.283    24 Mar 2023 04:13:08.414      1841.1307826    Earth           Umbra       48            1841.1307826
24 Mar 2023 05:19:23.537    24 Mar 2023 05:50:04.485      1840.9487632    Earth           Umbra       49            1840.9487632
24 Mar 2023 06:56:19.817    24 Mar 2023 07:27:00.577      1840.7599110    Earth           Umbra       50            1840.7599110
24 Mar 2023 08:33:16.193    24 Mar 2023 09:03:56.746      1840.5528974    Earth           Umbra       51            1840.5528974
24 Mar 2023 10:10:12.631    24 Mar 2023 10:40:52.984      1840.3534335    Earth           Umbra       52            1840.3534335
24 Mar 2023 11:47:09.015    24 Mar 2023 12:17:49.200      1840.1850807    Earth           Umbra       53            1840.1850807
24 Mar 2023 13:24:05.298    24 Mar 2023 13:54:45.336      1840.0375477    Earth           Umbra       54            1840.0375477
24 Mar 2023 15:01:01.543    24 Mar 2023 15:31:41.425      1839.8823229    Earth           Umbra       55            1839.8823229
24 Mar 2023 16:37:57.819    24 Mar 2023 17:08:37.517      1839.6987234    Earth           Umbra       56            1839.6987234
24 Mar 2023 18:14:54.136    24 Mar 2023 18:45:33.626      1839.4903714    Earth           Umbra       57            1839.4903714
24 Mar 2023 19:51:50.489    24 Mar 2023 20:22:29.778      1839.2890671    Earth           Umbra       58            1839.2890671
24 Mar 2023 21:28:46.878    24 Mar 2023 21:59:26.001      1839.1233267    Earth           Umbra       59            1839.1233267
24 Mar 2023 23:05:43.279    24 Mar 2023 23:36:22.255      1838.9763089    Earth           Umbra       60            1838.9763089
25 Mar 2023 00:42:39.655    25 Mar 2023 01:13:18.460      1838.8058213    Earth           Umbra       61            1838.8058213
25 Mar 2023 02:19:35.986    25 Mar 2023 02:50:14.593      1838.6069794    Earth           Umbra       62            1838.6069794
25 Mar 2023 03:56:32.267    25 Mar 2023 04:27:10.680      1838.4126408    Earth           Umbra       63            1838.4126408
25 Mar 2023 05:33:28.518    25 Mar 2023 06:04:06.750      1838.2323885    Earth           Umbra       64            1838.2323885
25 Mar 2023 07:10:24.807    25 Mar 2023 07:41:02.849      1838.0415413    Earth           Umbra       65            1838.0415413
25 Mar 2023 08:47:21.196    25 Mar 2023 09:17:59.030      1837.8342762    Earth           Umbra       66            1837.8342762
25 Mar 2023 10:24:17.632    25 Mar 2023 10:54:55.272      1837.6394479    Earth           Umbra       67            1837.6394479
25 Mar 2023 12:01:14.001    25 Mar 2023 12:31:51.478      1837.4765474    Earth           Umbra       68            1837.4765474
25 Mar 2023 13:38:10.272    25 Mar 2023 14:08:47.602      1837.3306951    Earth           Umbra       69            1837.3306951
25 Mar 2023 15:15:06.516    25 Mar 2023 15:45:43.689      1837.1729573    Earth           Umbra       70            1837.1729573
25 Mar 2023 16:52:02.797    25 Mar 2023 17:22:39.783      1836.9854177    Earth           Umbra       71            1836.9854177
25 Mar 2023 18:28:59.118    25 Mar 2023 18:59:35.895      1836.7764189    Earth           Umbra       72            1836.7764189
25 Mar 2023 20:05:55.475    25 Mar 2023 20:36:32.056      1836.5802965    Earth           Umbra       73            1836.5802965
25 Mar 2023 21:42:51.867    25 Mar 2023 22:13:28.287      1836.4206143    Earth           Umbra       74            1836.4206143
25 Mar 2023 23:19:48.265    25 Mar 2023 23:50:24.538      1836.2733890    Earth           Umbra       75            1836.2733890
26 Mar 2023 00:56:44.634    26 Mar 2023 01:27:20.732      1836.0983428    Earth           Umbra       76            1836.0983428
26 Mar 2023 02:33:40.957    26 Mar 2023 03:04:16.856      1835.8986601    Earth           Umbra       77            1835.8986601
26 Mar 2023 04:10:37.230    26 Mar 2023 04:41:12.938      1835.7078809    Earth           Umbra       78            1835.7078809
26 Mar 2023 05:47:33.479    26 Mar 2023 06:18:09.008      1835.5289562    Earth           Umbra       79            1835.5289562
26 Mar 2023 07:24:29.780    26 Mar 2023 07:55:05.116      1835.3361141    Earth           Umbra       80            1835.3361141
26 Mar 2023 09:01:26.180    26 Mar 2023 09:32:01.310      1835.1294846    Earth           Umbra       81            1835.1294846
26 Mar 2023 10:38:22.612    26 Mar 2023 11:08:57.552      1834.9399777    Earth           Umbra       82            1834.9399777
26 Mar 2023 12:15:18.965    26 Mar 2023 12:45:53.747      1834.7823647    Earth           Umbra       83            1834.7823647
26 Mar 2023 13:52:15.224    26 Mar 2023 14:22:49.862      1834.6376685    Earth           Umbra       84            1834.6376685
26 Mar 2023 15:29:11.471    26 Mar 2023 15:59:45.948      1834.4771260    Earth           Umbra       85            1834.4771260
26 Mar 2023 17:06:07.757    26 Mar 2023 17:36:42.043      1834.2860004    Earth           Umbra       86            1834.2860004
26 Mar 2023 18:43:04.081    26 Mar 2023 19:13:38.159      1834.0774142    Earth           Umbra       87            1834.0774142
26 Mar 2023 20:20:00.442    26 Mar 2023 20:50:34.329      1833.8873076    Earth           Umbra       88            1833.8873076
26 Mar 2023 21:56:56.835    26 Mar 2023 22:27:30.569      1833.7332672    Earth           Umbra       89            1833.7332672
26 Mar 2023 23:33:53.230    27 Mar 2023 00:04:26.815      1833.5849446    Earth           Umbra       90            1833.5849446
27 Mar 2023 01:10:49.592    27 Mar 2023 01:41:22.997      1833.4055793    Earth           Umbra       91            1833.4055793
27 Mar 2023 02:47:45.907    27 Mar 2023 03:18:19.113      1833.2061471    Earth           Umbra       92            1833.2061471
27 Mar 2023 04:24:42.172    27 Mar 2023 04:55:15.191      1833.0192485    Earth           Umbra       93            1833.0192485
27 Mar 2023 06:01:38.422    27 Mar 2023 06:32:11.263      1832.8411848    Earth           Umbra       94            1832.8411848
27 Mar 2023 07:38:34.735    27 Mar 2023 08:09:07.381      1832.6464979    Earth           Umbra       95            1832.6464979
27 Mar 2023 09:15:31.145    27 Mar 2023 09:46:03.587      1832.4414554    Earth           Umbra       96            1832.4414554
27 Mar 2023 10:52:27.571    27 Mar 2023 11:22:59.829      1832.2578417    Earth           Umbra       97            1832.2578417
27 Mar 2023 12:29:23.906    27 Mar 2023 12:59:56.012      1832.1052588    Earth           Umbra       98            1832.1052588
27 Mar 2023 14:06:20.157    27 Mar 2023 14:36:52.118      1831.9611975    Earth           Umbra       99            1831.9611975
27 Mar 2023 15:43:16.406    27 Mar 2023 16:13:48.204      1831.7976378    Earth           Umbra       100           1831.7976378
27 Mar 2023 17:20:12.697    27 Mar 2023 17:50:44.300      1831.6034099    Earth           Umbra       101           1831.6034099
27 Mar 2023 18:57:09.025    27 Mar 2023 19:27:40.421      1831.3963582    Earth           Umbra       102           1831.3963582
