Sat.UTCGregorian	Sat.ElapsedSecs	Sat.Earth.LST	Sat.EulerAngle1	Sat.EulerAngle2	Sat.EulerAngle3	Sat.EarthMJ2000Eq.X	Sat.EarthMJ2000Eq.Y	Sat.EarthMJ2000Eq.Z	Sat.Earth.Altitude	Sat.Earth.BetaAngle	Sun.EarthMJ2000Eq.X	Sun.EarthMJ2000Eq.Y	Sun.EarthMJ2000Eq.Z	Sat.EarthMJ2000Eq.AOP	Sat.EarthMJ2000Eq.RAAN	Sat.EarthMJ2000Eq.INC	Sat.Earth.ECC	Sat.Earth.SMA	Sat.Earth.TA	Sat.Earth.OrbitPeriod
21 Mar 2023 00:00:00.000	0	219.84	39.547	0.13273	-7.8853	-5393	-4453.2	16.202	615.86	-39.293	1.4898e+08	-4.9708e+05	-2.1668e+05	89.84	219.57	97.885	0.0001386	6994	270.29	5821
21 Mar 2023 12:00:00.000	43200	44.277	-136.06	25.939	-171.22	4524.3	4359.5	3056.1	612.71	-39.379	1.49e+08	6.8862e+05	2.9736e+05	123.72	220.07	97.886	0.00060355	6990.4	30.075	5816.5
22 Mar 2023 00:00:00.000	86400	231.15	50.723	-51.817	-12.83	-2736.3	-3345.8	-5495.9	627.04	-39.456	1.4901e+08	1.8743e+06	8.1137e+05	155.87	220.57	97.89	0.0015474	6982.4	151.61	5806.6
22 Mar 2023 12:00:00.000	1.296e+05	76.996	-103.82	76.448	-144.13	390.93	1589.6	6791.2	627.81	-39.534	1.4901e+08	3.0598e+06	1.3253e+06	268.51	221.07	97.892	0.0013959	6976.2	192.54	5798.8
23 Mar 2023 00:00:00.000	1.728e+05	14.916	-165.28	-72.938	-152.1	1983.1	520.93	-6680.6	629.54	-39.605	1.49e+08	4.2451e+06	1.8392e+06	87.658	221.57	97.892	0.0016748	6976.8	167.17	5799.5
23 Mar 2023 12:00:00.000	2.16e+05	213.52	33.299	47.743	-11.774	-3929	-2580.8	5173.9	624.01	-39.684	1.4897e+08	5.43e+06	2.3529e+06	181.98	222.07	97.887	0.0014012	6983.7	226.37	5808.2
24 Mar 2023 00:00:00.000	2.592e+05	39.646	-140.62	-21.89	-171.5	5011.2	4113.3	-2605	611.78	-39.76	1.4894e+08	6.6145e+06	2.8664e+06	190.73	222.57	97.882	0.00065389	6991.4	11.383	5817.8
24 Mar 2023 12:00:00.000	3.024e+05	223.97	43.67	-4.2741	-7.9013	-5045.7	-4816.7	-521.34	617.13	-39.844	1.4889e+08	7.7985e+06	3.3797e+06	134.15	223.08	97.879	0.00023446	6993.9	221.53	5820.9
25 Mar 2023 00:00:00.000	3.456e+05	48.58	-131.77	30.339	-170.86	4016.1	4496	3528.3	612.44	-39.922	1.4883e+08	8.9818e+06	3.8927e+06	124.08	223.58	97.882	0.0006447	6989.1	25.262	5815
25 Mar 2023 12:00:00.000	3.888e+05	236.44	55.989	-56.125	-14.248	-2180.2	-3231	-5805.8	629.53	-40	1.4876e+08	1.0164e+07	4.4055e+06	147.64	224.08	97.885	0.0018781	6981	155.41	5804.8
